Numero,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Telefono,Observaciones,Razon Social,Tipo de Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Importe,Nro de Cuenta,Fecha_Donación,País
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"66.227,00",403103,03/01/2018,Bolivia
D00121,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,-,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,Exento,34-01712356-6,26/1/2018,,Si,Anual,"243.823,00",404100,26/01/2018,Chile
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"55.300,00",403103,15/07/2018,Bolivia
D00116,Universidad del Sur,Empresa,Contacto V,-,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,Responsable Inscripto,29-38793456-3,23/12/2018,,SI,Anual,"72.299,00",403103,23/12/2018,Perú
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"84.760,00",403103,08/01/2019,Bolivia
D00121,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,-,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,Exento,34-01712356-6,26/1/2018,,Si,Anual,"272.276,00",404100,15/03/2019,Chile
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"16.137,00",403103,23/07/2019,Bolivia
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"183.574,00",404100,09/08/2019,Argentina
D00112,Global Energies S.A.,Estado,Contacto A,-,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,SA,Responsable Inscripto,25-36901514-8,13/8/2019,,SI,Anual,"385.846,00",404100,13/08/2019,Uruguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"714.947,00",404100,15/10/2019,Argentina
D00116,Universidad del Sur,Empresa,Contacto V,-,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,Responsable Inscripto,29-38793456-3,23/12/2018,,SI,Anual,"63.458,00",403103,23/10/2019,Perú
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"766.487,00",403103,02/12/2019,Paraguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"249.584,00",404100,20/12/2019,Argentina
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"60.805,00",405100,01/01/2020,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"356.286,00",403103,03/01/2020,Paraguay
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"18.448,00",403103,12/01/2020,Bolivia
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"387.885,00",403103,24/01/2020,Uruguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"730.842,00",404100,05/02/2020,Argentina
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"72.321,00",403103,05/02/2020,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"540.813,00",403103,24/02/2020,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"32.127,00",405100,01/03/2020,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"512.660,00",403103,03/03/2020,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"274.968,00",403103,24/03/2020,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"235.999,00",403103,04/04/2020,Paraguay
