Número,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razon Social,Tipo de Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Importe,Nro de Cuenta,Mes
D00001,TechNova Solutions,Empresa,Contacto A,-,TechNova Solutions@example.com,(011) 5000-0001,Observación 1,S.R.L,Responsable Inscripto,20-12345678-9,26/2/2024,45383,NO,Mensual,"$292,732.00",402101,February
D00002,EnergiaPlus S.A.,Empresa,Contacto B,-,EnergiaPlus S.A.@example.com,(011) 5000-0002,Observación 2,S.A,Monotributista,21-23456789-0,12/1/2024,45383,NO,Bimestral,"$326,439.00",403101,January
D00003,Grupo Delta,Empresa,Contacto C,-,Grupo Delta@example.com,(011) 5000-0003,Observación 3,S.R.L,Responsable Inscripto,22-34567890-1,8/6/2024,,SI,Anual,"$276,920.00",403101,June
D00004,Inova Global,Empresa,Contacto D,-,Inova Global@example,(011) 5000-0004,Observación 4,S.R.L,Monotributista,23-45678901-2,11/2/2024,45383,NO,Mensual,"$406,733.00",402101,February
D00005,Vanguardia Consultora,Empresa,Contacto E,-,Vanguardia Consultora@example.com,(011) 5000-0005,Observación 5,S.R.L,Responsable Inscripto,24-56789012-3,29/5/2024,,SI,Bimestral,"$352,572.00",403101,May
D00006,EcoTech Argentina,Empresa,Contacto F,-,EcoTech Argentina@example.com,(011) 5000-0006,Observación 6,,Monotributista,25-67890123-4,7/2/2024,45383,NO,Anual,"$499,223.00",403101,February
D00007,NexGen Industries,Empresa,Contacto G,-,NexGen Industries@example.com,(011) 5000-0007,Observación 7,S.R.L,Responsable Inscripto,26-78901234-5,26/6/2024,,SI,Mensual,"$344,730.00",402101,June
D00008,RedHorizonte,Empresa,Contacto H,-,RedHorizonte@example.com,(011) 5000-0008,Observación 8,S.R.L,Monotributista,27-89012345-6,25/7/2024,,SI,Bimestral,"$489,625.00",403101,July
D00009,Optima Logística,Empresa,Contacto I,-,Optima Logística@example.com,(011) 5000-0009,Observación 9,S.R.L,Responsable Inscripto,28-90123456-7,17/5/2024,,SI,Anual,"$428,367.00",403101,May
D00010,Punto Verde,Empresa,Contacto J,-,Punto Verde@example.com,(011) 5000-0010,Observación 10,S.R.L,Monotributista,29-01234567-8,1/4/2024,,SI,Mensual,"$362,840.00",402101,April
D00011,Zenith Digital,Empresa,Contacto K,-,Zenith Digital@example.com,(011) 5000-0011,Observación 11,S.R.L,Responsable Inscripto,20-12345679-0,16/3/2024,45383,NO,Bimestral,"$152,834.00",403101,March
D00012,CreaTech S.R.L.,Empresa,Contacto L,-,CreaTech S.R.L.@example.com,(011) 5000-0012,Observación 12,S.R.L,Monotributista,21-23456780-1,15/4/2024,,SI,Anual,"$175,310.00",403101,April
D00013,Alfa Innovaciones,Empresa,Contacto M,-,Alfa Innovaciones@example.com,(011) 5000-0013,Observación 13,S.R.L,Responsable Inscripto,22-34567891-2,4/2/2024,45383,NO,Mensual,"$417,633.00",402101,February
D00013,Alfa Innovaciones,Empresa,Contacto M,-,Alfa Innovaciones@example.com,(011) 5000-0013,Observación 13,S.R.L,Responsable Inscripto,22-34567891-2,4/2/2024,45383,NO,Mensual,"$169,763.00",402101,February
D00014,ServiNet,Empresa,Contacto N,-,ServiNet@example.com,(011) 5000-0014,Observación 14,S.A,Monotributista,23-45678902-3,5/6/2024,,SI,Bimestral,"$244,263.00",403101,June
